year;;month;;H(h)_m;;Kd;;T2m
2005;;Jan;;141.11;;0.44;;21.9
2005;;Feb;;164.43;;0.32;;20.8
2005;;Mar;;145.34;;0.36;;21.3
2005;;Apr;;128.28;;0.32;;20.7
2005;;May;;123.55;;0.26;;18.6
2005;;Jun;;103.43;;0.31;;17.6
2005;;Jul;;107.36;;0.31;;15.8
2005;;Aug;;140.92;;0.28;;18.6
2005;;Sep;;114.05;;0.43;;17.5
2005;;Oct;;137.21;;0.46;;20.6
2005;;Nov;;160.72;;0.4;;19.6
2005;;Dec;;177.4;;0.39;;19.8
2006;;Jan;;179.98;;0.37;;22.7
2006;;Feb;;144.0;;0.4;;22.1
2006;;Mar;;154.89;;0.34;;21.6
2006;;Apr;;130.63;;0.34;;18.9
2006;;May;;103.88;;0.34;;15.8
2006;;Jun;;102.04;;0.32;;16.5
2006;;Jul;;113.41;;0.27;;17.2
2006;;Aug;;132.49;;0.3;;17.8
2006;;Sep;;134.69;;0.37;;17.6
2006;;Oct;;148.06;;0.41;;19.1
2006;;Nov;;161.34;;0.39;;19.8
2006;;Dec;;161.47;;0.43;;21.4
2007;;Jan;;141.71;;0.48;;21.4
2007;;Feb;;162.23;;0.33;;22.0
2007;;Mar;;175.1;;0.26;;22.4
2007;;Apr;;132.11;;0.32;;20.5
2007;;May;;102.41;;0.34;;16.7
2007;;Jun;;108.47;;0.27;;16.9
2007;;Jul;;97.13;;0.36;;15.4
2007;;Aug;;129.58;;0.31;;16.9
2007;;Sep;;156.01;;0.3;;19.8
2007;;Oct;;177.72;;0.29;;21.1
2007;;Nov;;155.66;;0.4;;19.3
2007;;Dec;;180.93;;0.37;;21.6
2008;;Jan;;159.27;;0.41;;20.7
2008;;Feb;;155.41;;0.39;;21.4
2008;;Mar;;148.6;;0.34;;20.4
2008;;Apr;;113.7;;0.39;;19.4
2008;;May;;106.99;;0.32;;15.8
2008;;Jun;;90.55;;0.37;;16.2
2008;;Jul;;126.58;;0.25;;16.3
2008;;Aug;;118.58;;0.32;;17.6
2008;;Sep;;134.26;;0.37;;17.2
2008;;Oct;;143.42;;0.42;;19.7
2008;;Nov;;162.66;;0.41;;19.2
2008;;Dec;;175.45;;0.38;;19.9
2009;;Jan;;157.31;;0.45;;21.2
2009;;Feb;;145.58;;0.38;;22.3
2009;;Mar;;151.67;;0.38;;21.4
2009;;Apr;;131.5;;0.33;;18.9
2009;;May;;112.6;;0.32;;17.8
2009;;Jun;;93.25;;0.34;;14.5
2009;;Jul;;79.28;;0.45;;15.8
2009;;Aug;;125.41;;0.35;;17.0
2009;;Sep;;111.21;;0.46;;18.7
2009;;Oct;;137.57;;0.49;;19.2
2009;;Nov;;170.79;;0.35;;22.6
2009;;Dec;;156.3;;0.46;;21.2
2010;;Jan;;148.61;;0.47;;22.7
2010;;Feb;;163.23;;0.31;;23.3
2010;;Mar;;154.95;;0.32;;21.7
2010;;Apr;;121.72;;0.33;;19.0
2010;;May;;111.26;;0.35;;17.1
2010;;Jun;;102.25;;0.3;;15.4
2010;;Jul;;104.46;;0.31;;17.1
2010;;Aug;;131.11;;0.3;;16.3
2010;;Sep;;131.02;;0.36;;19.1
2010;;Oct;;155.68;;0.4;;17.7
2010;;Nov;;165.1;;0.36;;19.8
2010;;Dec;;158.35;;0.43;;21.3
2011;;Jan;;160.65;;0.43;;22.6
2011;;Feb;;146.18;;0.42;;22.9
2011;;Mar;;113.99;;0.49;;20.3
2011;;Apr;;124.76;;0.35;;19.9
2011;;May;;108.82;;0.34;;16.1
2011;;Jun;;105.25;;0.31;;14.6
2011;;Jul;;102.79;;0.34;;16.4
2011;;Aug;;115.99;;0.34;;17.2
2011;;Sep;;158.06;;0.3;;17.9
2011;;Oct;;154.82;;0.38;;19.1
2011;;Nov;;171.04;;0.35;;18.7
2011;;Dec;;179.49;;0.35;;20.7
2012;;Jan;;165.32;;0.4;;20.4
2012;;Feb;;168.06;;0.34;;22.9
2012;;Mar;;166.87;;0.3;;20.8
2012;;Apr;;117.26;;0.37;;19.8
2012;;May;;103.39;;0.34;;16.6
2012;;Jun;;76.81;;0.42;;16.7
2012;;Jul;;107.24;;0.31;;15.7
2012;;Aug;;145.9;;0.26;;17.4
2012;;Sep;;151.72;;0.31;;19.2
2012;;Oct;;174.56;;0.32;;21.1
2012;;Nov;;161.12;;0.39;;19.8
2012;;Dec;;168.13;;0.39;;23.3
2013;;Jan;;150.48;;0.45;;20.7
2013;;Feb;;152.17;;0.39;;22.2
2013;;Mar;;139.51;;0.38;;20.8
2013;;Apr;;129.67;;0.33;;18.4
2013;;May;;108.99;;0.32;;17.5
2013;;Jun;;84.13;;0.4;;16.8
2013;;Jul;;96.93;;0.34;;15.0
2013;;Aug;;132.22;;0.32;;16.4
2013;;Sep;;138.98;;0.34;;18.3
2013;;Oct;;149.47;;0.43;;18.3
2013;;Nov;;164.42;;0.34;;20.3
2013;;Dec;;195.07;;0.34;;21.7
2014;;Jan;;213.83;;0.28;;23.9
2014;;Feb;;175.81;;0.27;;24.3
2014;;Mar;;157.94;;0.33;;21.8
2014;;Apr;;128.37;;0.34;;19.7
2014;;May;;107.99;;0.33;;17.8
2014;;Jun;;94.24;;0.36;;17.4
2014;;Jul;;97.36;;0.36;;16.2
2014;;Aug;;131.31;;0.3;;17.3
2014;;Sep;;148.76;;0.34;;19.8
2014;;Oct;;192.88;;0.29;;20.7
2014;;Nov;;159.02;;0.42;;20.4
2014;;Dec;;178.84;;0.35;;21.9
2015;;Jan;;197.62;;0.31;;24.0
2015;;Feb;;149.22;;0.36;;22.1
2015;;Mar;;137.55;;0.42;;21.0
2015;;Apr;;119.56;;0.39;;19.3
2015;;May;;97.48;;0.41;;17.7
2015;;Jun;;92.93;;0.32;;16.7
2015;;Jul;;93.42;;0.38;;16.9
2015;;Aug;;138.83;;0.28;;18.8
2015;;Sep;;132.17;;0.35;;20.0
2015;;Oct;;158.64;;0.4;;21.3
2015;;Nov;;133.81;;0.49;;21.3
2015;;Dec;;157.36;;0.43;;22.3
2016;;Jan;;163.73;;0.39;;21.8
2016;;Feb;;148.31;;0.38;;22.7
2016;;Mar;;149.35;;0.35;;21.7
2016;;Apr;;144.78;;0.25;;22.0
2016;;May;;97.85;;0.41;;17.2
2016;;Jun;;88.9;;0.37;;14.2
2016;;Jul;;116.02;;0.3;;16.0
2016;;Aug;;120.94;;0.34;;17.2
2016;;Sep;;141.62;;0.37;;17.7
2016;;Oct;;154.46;;0.41;;19.5
2016;;Nov;;158.94;;0.39;;19.4
2016;;Dec;;190.95;;0.35;;22.3
2017;;Jan;;154.67;;0.46;;22.4
2017;;Feb;;175.66;;0.29;;23.3
2017;;Mar;;149.33;;0.36;;20.9
2017;;Apr;;113.53;;0.4;;19.6
2017;;May;;100.33;;0.38;;18.0
2017;;Jun;;100.25;;0.32;;16.6
2017;;Jul;;119.01;;0.27;;15.2
2017;;Aug;;116.68;;0.36;;16.8
2017;;Sep;;175.22;;0.23;;20.7
2017;;Oct;;159.38;;0.39;;21.0
2017;;Nov;;166.1;;0.37;;19.9
2017;;Dec;;167.31;;0.41;;21.7
2018;;Jan;;160.55;;0.44;;21.9
2018;;Feb;;153.0;;0.37;;21.1
2018;;Mar;;149.43;;0.37;;22.5
2018;;Apr;;141.56;;0.28;;19.9
2018;;May;;119.66;;0.29;;18.0
2018;;Jun;;83.27;;0.4;;17.3
2018;;Jul;;109.96;;0.32;;17.2
2018;;Aug;;113.69;;0.37;;16.3
2018;;Sep;;139.33;;0.36;;18.5
2018;;Oct;;129.74;;0.49;;19.4
2018;;Nov;;147.9;;0.44;;20.0
2018;;Dec;;206.47;;0.29;;22.6
2019;;Jan;;202.94;;0.29;;24.4
2019;;Feb;;146.59;;0.34;;22.2
2019;;Mar;;151.7;;0.35;;21.6
2019;;Apr;;129.62;;0.31;;21.1
2019;;May;;107.81;;0.36;;19.3
2019;;Jun;;105.89;;0.29;;17.4
2019;;Jul;;115.52;;0.28;;15.6
2019;;Aug;;119.19;;0.34;;16.6
2019;;Sep;;135.45;;0.35;;19.6
2019;;Oct;;180.93;;0.3;;21.5
2019;;Nov;;155.88;;0.43;;20.9
2019;;Dec;;175.92;;0.4;;21.5
2020;;Jan;;170.7;;0.39;;22.0
2020;;Feb;;123.48;;0.44;;21.0
2020;;Mar;;164.54;;0.31;;20.4
2020;;Apr;;145.71;;0.27;;18.9
2020;;May;;122.42;;0.28;;16.3
2020;;Jun;;93.53;;0.35;;18.0
2020;;Jul;;112.28;;0.29;;17.2
2020;;Aug;;129.4;;0.31;;17.1
2020;;Sep;;152.06;;0.29;;21.5
2020;;Oct;;171.91;;0.32;;20.6
2020;;Nov;;183.68;;0.32;;20.0
2020;;Dec;;168.56;;0.39;;21.0
